ED9366EFDE180D644A8BA9F3582BB25AAE8F1F8C68E657649A28703897AA7954,App launched,2024-09-27T04:53:36Z
2C21F956E2BE73AB4D68FD2D4D2F0203374F059C93EF48CB900F09F2698F9AC6,App launched,2024-09-27T12:08:05Z
2A54507C992D499E820A7F0F6E2E8E512FF319F2F9F81D24DB1DB88D9334C30F,App launched,2024-09-27T13:17:31Z
2A54507C992D499E820A7F0F6E2E8E512FF319F2F9F81D24DB1DB88D9334C30F,stats|osVersion|Version 18.0 (Build 22A3354),2024-09-27T13:17:31Z
2A54507C992D499E820A7F0F6E2E8E512FF319F2F9F81D24DB1DB88D9334C30F,stats|timeInGhost|0,2024-09-27T13:17:31Z
2A54507C992D499E820A7F0F6E2E8E512FF319F2F9F81D24DB1DB88D9334C30F,stats|osVersion|Version 18.0 (Build 22A3354),2024-09-27T13:17:31Z
2A54507C992D499E820A7F0F6E2E8E512FF319F2F9F81D24DB1DB88D9334C30F,stats|superghostTrialEnd|-10,2024-09-27T13:17:31Z
2A54507C992D499E820A7F0F6E2E8E512FF319F2F9F81D24DB1DB88D9334C30F,stats|isSuperghost|false,2024-09-27T13:17:31Z
2A54507C992D499E820A7F0F6E2E8E512FF319F2F9F81D24DB1DB88D9334C30F,stats|isSuperghost|false,2024-09-27T13:17:31Z
2A54507C992D499E820A7F0F6E2E8E512FF319F2F9F81D24DB1DB88D9334C30F,stats|superghostTrialEnd|-10,2024-09-27T13:17:31Z
2A54507C992D499E820A7F0F6E2E8E512FF319F2F9F81D24DB1DB88D9334C30F,stats|notifications|authorized,2024-09-27T13:17:31Z
2A54507C992D499E820A7F0F6E2E8E512FF319F2F9F81D24DB1DB88D9334C30F,stats|notifications|authorized,2024-09-27T13:17:31Z
2A54507C992D499E820A7F0F6E2E8E512FF319F2F9F81D24DB1DB88D9334C30F,stats|timeInGhost|0,2024-09-27T13:17:31Z
